bikeStationAddress,latitude,longitude,freeBikes
Durie St / Dundas St W,43.665523,-79.484892,21
St Clair Ave W / Castleton Ave,43.668496,-79.485426,9
Weston Lions Park,43.698841,-79.519472,10
Annette St / Jane St,43.658574,-79.487246,6
Jameson Ave / Queen St W,43.63985,-79.43703,16
Carlaw Ave / Dundas St E,43.665076,-79.341509,14
Toronto Inukshuk Park,43.6323994,-79.4097818,35
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,8
Swansea Community Centre,43.6438036,-79.4770327,4
Bellwoods Ave / Treford Pl,43.65246,-79.413528,0
207 Eastern Avenue,43.6548521,-79.3539768,3
The Queensway / High St,43.630874,-79.482407,20
Symington Ave / Davenport Rd,43.6704403,-79.4532855,9
Front St E / Bayview Avenue,43.6535,-79.354068,18
Oak St / Sumach St,43.6617908,-79.361515,8
The Esplanade / Hahn Pl,43.649709,-79.364184,16
439 Sherbourne St,43.666051,-79.374161,1
Glebe Rd / Yonge St,43.7005976,-79.397345,7
Hillsdale Ave W / Yonge St,43.7029672,-79.3979073,14
Alvin Ave / St Clair Ave E,43.68871,-79.39264,6
Eglinton Ave W / Scarlett Rd,43.6834703,-79.5108942,11
The Pond Rd / Sentinel Rd,43.7696262,-79.5025943,6
Sentinel Rd / Finch Hydro Corridor,43.7641485,-79.5012809,14
Finch West Subway Station,43.76521,-79.491281,20
Dufferin St / Finch Hydro Recreational Trail,43.7724019,-79.4675395,4
G Ross Lord Park,43.7781116,-79.467963,14
Elwood Blvd / Avenue Rd,43.707049,-79.40966,0
Roehampton St / Bayview Ave,43.711751,-79.378615,6
Teddington Park Ave,43.732975,-79.40401,5
Russell St / Huron St,43.660274,-79.398049,7
Woodbine Ave / O'Connor Dr,43.699281,-79.318802,6
O'Connor Dr / Curity Ave,43.707582,-79.311439,3
Dawes Rd / Taylor Creek Trl,43.696631,-79.297436,11
Queen St W / John St,43.650077,-79.391291,22
Fairmount Park,43.6765897,-79.3163022,17
Richmond St W / York St,43.650745,-79.383633,5
Sunnybrook Park,43.720233,-79.362092,22
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,13
Braemar Ave / Eglinton Ave W,43.7041957,-79.4094472,0
Eglinton Ave W / Redpath Av,43.7078691,-79.39248,0
Long Branch GO Station,43.591561,-79.545827,14
Marie Curtis Park,43.5880774,-79.5432067,20
Guildwood GO Station (South),43.754978,-79.1971289,3
Chorley Park,43.6856,-79.3718,3
Cherry Beach,43.637764,-79.345359,19
Spadina Ave / Harbord St,43.6629228,-79.4018451,1
St. George St / Russell St,43.660296,-79.397107,16
Starspray Ave / Lawrence Ave E,43.788319,-79.123505,10
Rouge Hill GO Station,43.7805505,-79.1301203,9
Colonel Danforth Park,43.7777114,-79.1659711,11
Morningside Park (Highland Creek Trail),43.779353,-79.193023,0
Livingston Rd / Guildwood Pkwy,43.747854,-79.199327,6
Livingston Rd (Highland Creek Trail),43.7561681,-79.2026694,12
Twelfth St / Thirteenth St,43.6002896,-79.5108692,14
Florence Gell Park,43.6615467,-79.498398,11
Wallace Ave / Pauline Ave,43.6632257,-79.4397052,3
Kingston Rd / Beech Ave,43.680095,-79.291714,5
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,2
Union Station,43.645609,-79.380386,8
Hayter St / Laplante Ave,43.65916667,-79.38555556,3
Seaton St / Dundas St E,43.658777,-79.369596,22
Lundy Ave / Etienne Brule Park,43.6625395,-79.5030161,3
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,2
Torresdale Ave / Antibes Dr,43.77953,-79.45233,6
Ester Shiner Stadium,43.7774374,-79.4447096,6
St. George St / Hoskin Ave,43.6637403,-79.3980645,5
Fleming Cres / Bayview Ave,43.707045,-79.375437,2
King St E / Victoria St,43.6495789,-79.3762096,19
Huron/ Harbord St,43.6637,-79.400053,5
Amaleda Ave / Vaughan Rd,43.690903,-79.4375028,14
Adelaide St W / Strachan Ave,43.64325309,-79.4123047,8
Royal York Rd / Lake Shore Blvd W,43.6029904,-79.4926867,4
Runnymede Rd / Annette St,43.6596299,-79.4799176,5
Salem Ave / Bloor St W,43.6608333,-79.43166667,0
Dufferin St / Bloor St,43.66083333,-79.43583333,0
Davisville Ave / Pailton Cres,43.69933,-79.39199,18
345 High Park Ave,43.6653032,-79.4701178,12
10 Judson St,43.6162721,-79.4990363,8
Wilket Creek Park,43.720645,-79.355474,11
2659 Dundas St W,43.6641174,-79.4588522,10
1266 Queen St W,43.6424558,-79.4296346,11
80 Oriole Parkway,43.6954486,-79.4026176,2
108 East Lynn Avenue,43.6850809,-79.3149901,4
840 Danforth Ave,43.6800218,-79.3405681,6
1295-1307 Military Trail,43.7842419,-79.1849889,2
Lake Shore Blvd E / Parliament St,43.6451308,-79.3653644,15
324 Cherry St,43.6482995,-79.3552533,1
117 Elm Street,43.656373,-79.3878104,8
Walton St / Elizabeth St,43.657838,-79.38631,7
Waterfront Trail (Rouge Hill),43.778015,-79.131911,1
St Clair Ave W / Gunns Rd,43.672079,-79.470171,12
Pape Ave / Gamble Ave,43.690237,-79.350119,2
Roehampton Ave / Mount Pleasant Rd - SMART,43.70942,-79.39139,0
Church St / Bloor St E,43.671389,-79.382919,3
200 Bloor St. E.,43.671561,-79.38117,1
Sherbourne St / Isabella St,43.669576,-79.375961,0
Bloor St W / Balmuto St,43.669903,-79.387802,0
Moore Park,43.693256,-79.383238,0
3 Pacific Avenue,43.6541245,-79.4636388,6
896 Danforth Avenue,43.680207,-79.339243,6
Bloor St W / Brock Av,43.6589882,-79.438715,5
Davenport Rd / Oakwood Rd - SMART,43.6741219,-79.4352208,8
1 Market St,43.6469928,-79.3706665,16
Brick Works,43.683884,-79.36647,18
600 University Ave,43.6578449,-79.3899265,17
University Ave / King St W,43.6477785,-79.3847928,15
Amroth Ave / Danforth Ave,43.6856128,-79.3116827,4
