restaurant_name,address,rating,review_count,reslatitude,reslongitude,bikeStationAddress,bikeStationDistance,latitude,longitude,freeBikes
Good Fork,1550 Dundas Street W,4.0,379.0,43.6499162,-79.4335594,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
The Four Seven,1211 Bloor Street  W,4.5,31.0,43.65876,-79.43993,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
Black Cat Espresso Bar,1104 College Street,4.5,57.0,43.65278,-79.43235,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
Ali Baba's Restaurant,1283 Bloor St W,4.0,32.0,43.65827,-79.44235,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
Conzo's Pizza,1279 Bloor Street W,4.5,16.0,43.6583176076595,-79.4422607123852,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
Latin World,1229 Bloor Street W,3.5,51.0,43.6586,-79.44074,Lansdowne Ave / Wade Ave,,43.6587734,-79.443054,15
Café Polonez,195 Roncesvalles Avenue,4.5,278.0,43.64514,-79.44831,Lansdowne Ave / Whytock Ave,,43.65388889,-79.44138889,6
The Federal,1438 Dundas Street W,4.0,172.0,43.6497699,-79.43011,Lansdowne Ave / Whytock Ave,,43.65388889,-79.44138889,6
The Ace,231A Roncesvalles Avenue,4.0,192.0,43.646122,-79.448823,Lansdowne Ave / Whytock Ave,,43.65388889,-79.44138889,6
Arabesque Middle Eastern Foods,1068 College Street,4.5,30.0,43.65307,-79.43096,Lansdowne Ave / Whytock Ave,,43.65388889,-79.44138889,6
Brazil Bakery and Pastry,1566 Dundas Street W,4.0,47.0,43.649907830042,-79.434125988384,Sterling Rd / Dundas St W,,43.65083333,-79.44305556,8
De Floured,1250 College Street,5.0,13.0,43.65157,-79.43835,Sterling Rd / Dundas St W,,43.65083333,-79.44305556,8
Viaggio,1727 Dundas St W,4.5,23.0,43.6499275270851,-79.4390283152461,Sterling Rd / Dundas St W,,43.65083333,-79.44305556,8
Sakai Bar,1576 Dundas Street West,4.5,21.0,43.6499784722163,-79.4344709068537,St Clarens Ave / College St,,43.651238,-79.43868,4
The Caledonian,856 College Street,4.5,149.0,43.65439,-79.42355,Ossington Ave / College St,,43.6544915,-79.422634,1
Imm Thai Kitchen,651 College Street,4.5,145.0,43.65484,-79.41598,Ossington Ave / College St,,43.6544915,-79.422634,1
PG Clucks,610 College Street,4.0,192.0,43.65532,-79.41456,Ossington Ave / College St,,43.6544915,-79.422634,1
The Fish Store & Sandwiches,657 College Street,4.0,152.0,43.65491,-79.41627,Ossington Ave / College St,,43.6544915,-79.422634,1
Chiado,864 College Street,4.0,123.0,43.654186841827,-79.424246886555,Ossington Ave / College St,,43.6544915,-79.422634,1
College Falafel,450 Ossington Ave,4.0,99.0,43.65455,-79.42289,Ossington Ave / College St,,43.6544915,-79.422634,1
La Banane,227 Ossington Avenue,4.5,148.0,43.64904,-79.4203,Ossington Ave / College St,,43.6544915,-79.422634,1
Rudy,619 College Street,4.0,177.0,43.65489,-79.41474,Ossington Ave / College St,,43.6544915,-79.422634,1
Flame Food+Design,2197 Bloor Street W,4.5,31.0,43.6511699407415,-79.4751231579362,High Park Subway Station,,43.6543604,-79.4655296,2
Hannah's Cafe and Bakery,1822 Bloor Street W,3.5,33.0,43.6542601,-79.4625825,High Park Subway Station,,43.6543604,-79.4655296,2
Thai By The Park,1675 Bloor St W,3.5,45.0,43.6552099,-79.4567299,High Park Subway Station,,43.6543604,-79.4655296,2
Lunch Box,1731 Bloor Street W,3.0,47.0,43.654614783423,-79.4594764709473,High Park Subway Station,,43.6543604,-79.4655296,2
The Works,2245 Bloor Street W,3.0,82.0,43.6506932036695,-79.477451428836,High Park Subway Station,,43.6543604,-79.4655296,2
Shakey's Sports Pub,2255 Bloor Street W,4.0,33.0,43.6507268,-79.4774603,High Park Subway Station,,43.6543604,-79.4655296,2
Sunnyside Pavilion Cafe,1755 Lake Shore Boulevard W,3.0,55.0,43.6377,-79.45739,Lake Shore Blvd W / Ellis Ave,,43.635932,-79.465083,7
Cafe Cocoa Boulangerie,58 Marine Parade Drive,2.5,35.0,43.62747,-79.47709,Lake Shore Blvd W / Ellis Ave,,43.635932,-79.465083,7
Gravity Pizza Cafe & Starbucks,58 Marine Parade Drive,4.5,2.0,43.62707994326507,-79.4770731660624,Lake Shore Blvd W / Ellis Ave,,43.635932,-79.465083,7
Musoshin Ramen,9 Boustead Ave,4.0,27.0,43.6533636,-79.4521349,Parkside Dr / Bloor St W,,43.654501,-79.460053,9
Ali Baba's Middle Eastern Cuisine,2202 Dundas Street W,3.5,46.0,43.65384,-79.45115,Parkside Dr / Bloor St W,,43.654501,-79.460053,9
Cafe Tibet Bar & Grill,390 Roncesvalles Avenue,4.5,21.0,43.65082,-79.45104,Parkside Dr / Bloor St W,,43.654501,-79.460053,9
Islas Filipino BBQ and Bar,1690 Queen Street W,4.5,80.0,43.6393,-79.4446,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Easy Breakfast,1645 Queen Street W,3.5,136.0,43.63868,-79.44567,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Local Kitchen & Winebar,1710 Queen Street W,3.5,82.0,43.6389877,-79.4451285,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Aris Place,229 Roncesvalles Avenue,4.0,62.0,43.64606,-79.44868,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
The Goods,279 Roncesvalles Ave,4.0,50.0,43.6465869013913,-79.4490116419379,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Thai Home,133 Roncesvalles Avenue,4.0,45.0,43.6431694,-79.4475479,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Benna's Bakery & Deli,135 Roncesvalles Avenue,4.0,25.0,43.64322938568119,-79.44767766163258,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Tdotjerk,26 Roncesvalles Avenue,4.0,25.0,43.6396299,-79.44678,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Lambretta Pizzeria & Wine Bar,89 Roncesvalles Avenue,3.5,53.0,43.6416802434603,-79.44698295337294,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Amicos Pizza Ristorante,1648 Queen Street W,3.5,55.0,43.639388,-79.443082,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Grenadier Cafe,200 Parkside Dr,3.0,85.0,43.6453922668846,-79.46537733078,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
I Deal Coffee,221 Sorauren Avenue,3.5,28.0,43.6463479169456,-79.4432759284973,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Gyro Bar!,1647 Queen St W,4.0,18.0,43.6386876503145,-79.4458197453875,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
Sake Sushi,20 Roncesvalles Avenue,5.0,6.0,43.63951,-79.44674,Sunnyside - Gus Ryder Pool,,43.637894,-79.454823,5
BB Cafe,78 Marine Parade Drive,3.0,6.0,43.626333,-79.4771567,Lake Shore Blvd W / Windermere Ave,,43.634896,-79.467763,5
Bello Pizza,2196 Bloor Street W,5.0,6.0,43.65144895399031,-79.47541347810547,Bloor St W / High Park Ave (High Park),,43.6535269,-79.4650569,6
Bawara,1570 Bloor St W,4.5,9.0,43.65632,-79.45387,Bloor St W / High Park Ave (High Park),,43.6535269,-79.4650569,6
Tibet Kitchen,1544 Queen Street W,4.5,249.0,43.640095,-79.439659,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Himalayan Kitchen,1526 Queen Street W,4.5,140.0,43.6403,-79.43889,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Shangrila Tibetan & Asian Cuisine,1600 Queen Street W,4.0,96.0,43.6397400555351,-79.4415438622399,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Norling,1512 Queen Street W,4.0,71.0,43.64035185125108,-79.4385082,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
OM Restaurant and Bar,1439 Queen Street W,4.0,51.0,43.6402,-79.43756,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Little Tibet  Restaurant,1449A Queen Street W,4.5,25.0,43.6401,-79.438,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Habibi Shawarma,1214 King Street W,4.0,22.0,43.6389542,-79.4279631,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
CiCi's Pizza,1618 Queen St W,4.0,43.0,43.63968,-79.44208,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Dave's Hot Chicken,1582 Queen Street W,3.5,58.0,43.64003,-79.44083,Martin Goodman Trail (Marilyn Bell Park),,43.6314,-79.4304,16
Garleek Kitchen,1500 Queen Street W,4.5,48.0,43.64046,-79.43811,Lake Shore Blvd W / The Boulevard Club,,43.636731,-79.444966,9
Ali's West Indian Roti Shop,1446 Queen Street W,4.0,91.0,43.64101,-79.43599,Lake Shore Blvd W / The Boulevard Club,,43.636731,-79.444966,9
The MoMo House,1422 Queen Street W,4.5,33.0,43.64119,-79.43505,Lake Shore Blvd W / The Boulevard Club,,43.636731,-79.444966,9
Skyline Restaurant,1426 Queen Street W,4.0,71.0,43.64109,-79.4351499,Lake Shore Blvd W / The Boulevard Club,,43.636731,-79.444966,9
Clandestino wine bar,1592 Queen Street W,4.5,19.0,43.6397432129,-79.4413259625,Lake Shore Blvd W / The Boulevard Club,,43.636731,-79.444966,9
Grazie Ristorante,2373 Yonge Street,4.0,468.0,43.70934,-79.39852,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Touhenboku Ramen Restaurant,2459 Yonge Street,3.5,129.0,43.7114087,-79.3993231,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Istanbul Cafe & Espresso Bar,174 Eglinton Avenue E,4.0,120.0,43.70803,-79.39309,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Rolltation,2291 Yonge Street,4.0,108.0,43.70754,-79.39812,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Fresh on Eglinton,101 Eglinton Avenue East,3.5,198.0,43.70721807370128,-79.39518391990069,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Sorn Thai Restaurant,2550 Yonge Street,3.5,119.0,43.71333,-79.4,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Fit For Life,50 Eglinton Ave E,4.5,40.0,43.70746,-79.39675,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Good Bite Restaurant,2463 Yonge Street,3.5,64.0,43.71148,-79.39904,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Byblos Uptown,2537 Yonge St,3.5,64.0,43.71302,-79.39929,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Snakes & Lattes Midtown,45 Eglinton Ave E,4.0,64.0,43.7068299,-79.39648,Erskine Ave / Yonge St SMART,,43.7112153,-79.39894,5
Momo Hut & Gardens,401 Danforth Avenue,4.5,115.0,43.6773492,-79.3513541,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
RYUS Noodle Bar,786 Broadview Avenue,4.0,381.0,43.6771,-79.35905,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
Souv Like,708 Pape Avenue,4.5,83.0,43.67948,-79.34532,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
Papyrus,337 Danforth Avenue,4.5,42.0,43.67709,-79.35324,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
Fiorentina,463 Danforth Avenue,4.0,94.0,43.67765,-79.35008,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
Greenwood Smokehouse BBQ,673 Danforth Avenue,3.5,158.0,43.6789975,-79.3442872,Mortimer Ave / Carlaw Ave SMART,,43.685167,-79.34962,0
Naan & Kabob,691 Yonge Street,4.0,137.0,43.66905,-79.38606,20 Charles St E,,43.6691099,-79.38551,0
Cabano's Comfort Food,75 Saint Nicholas Street,4.5,73.0,43.66767,-79.38642,20 Charles St E,,43.6691099,-79.38551,0
Chick-fil-A,709 Yonge St,4.0,114.0,43.66954339523418,-79.3861435858965,20 Charles St E,,43.6691099,-79.38551,0
O.Noir,620 Church St,3.5,375.0,43.66905,-79.3826799,20 Charles St E,,43.6691099,-79.38551,0
Edulis,169 Niagara Street,4.0,119.0,43.64195961518665,-79.4065795,Niagara St / Tecumseth St,,43.641389,-79.404444,12
Simit & Chai,787 King Street W,4.0,122.0,43.6429732,-79.4066583,Niagara St / Tecumseth St,,43.641389,-79.404444,12
